tanggal,result,as,kop,kepala,ekor
2018-07-30,0333,0,3,3,3
2018-07-31,6720,6,7,2,0
2018-08-01,6217,6,2,1,7
2018-08-02,6706,6,7,0,6
2018-08-03,9157,9,1,5,7
2018-08-04,4555,4,5,5,5
2018-08-05,4816,4,8,1,6
2018-08-06,4411,4,4,1,1
2018-08-07,9538,9,5,3,8
2018-08-08,8150,8,1,5,0
2018-08-09,1122,1,1,2,2
2018-08-10,4308,4,3,0,8
2018-08-11,1245,1,2,4,5
2018-08-12,4107,4,1,0,7
2018-08-13,4381,4,3,8,1
2018-08-14,8312,8,3,1,2
2018-08-15,9947,9,9,4,7
2018-08-16,7864,7,8,6,4
2018-08-17,1519,1,5,1,9
2018-08-18,7716,7,7,1,6
2018-08-19,9089,9,0,8,9
2018-08-20,1244,1,2,4,4
2018-08-21,8777,8,7,7,7
2018-08-22,7057,7,0,5,7
2018-08-23,8580,8,5,8,0
2018-08-24,5329,5,3,2,9
2018-08-25,3681,3,6,8,1
2018-08-26,5370,5,3,7,0
2018-08-27,0663,0,6,6,3
2018-08-28,5721,5,7,2,1
2018-08-29,7049,7,0,4,9
2018-08-30,4094,4,0,9,4
2018-08-31,8070,8,0,7,0
2018-09-01,6254,6,2,5,4
2018-09-02,3594,3,5,9,4
2018-09-03,2618,2,6,1,8
2018-09-04,9418,9,4,1,8
2018-09-05,0710,0,7,1,0
2018-09-06,1559,1,5,5,9
2018-09-07,4399,4,3,9,9
2018-09-08,6118,6,1,1,8
2018-09-09,5043,5,0,4,3
2018-09-10,2900,2,9,0,0
2018-09-11,1528,1,5,2,8
2018-09-12,6411,6,4,1,1
2018-09-13,2341,2,3,4,1
2018-09-14,0795,0,7,9,5
2018-09-15,2886,2,8,8,6
2018-09-16,5039,5,0,3,9
2018-09-17,2732,2,7,3,2
2018-09-18,8687,8,6,8,7
2018-09-19,1333,1,3,3,3
2018-09-20,1018,1,0,1,8
2018-09-21,5765,5,7,6,5
2018-09-22,2509,2,5,0,9
2018-09-23,2160,2,1,6,0
2018-09-24,0780,0,7,8,0
2018-09-25,4970,4,9,7,0
2018-09-26,9878,9,8,7,8
2018-09-27,2774,2,7,7,4
2018-09-28,6910,6,9,1,0
2018-09-29,0809,0,8,0,9
2018-09-30,3164,3,1,6,4
2018-10-01,4776,4,7,7,6
2018-10-02,0365,0,3,6,5
2018-10-03,9375,9,3,7,5
2018-10-04,4536,4,5,3,6
2018-10-05,3830,3,8,3,0
2018-10-06,4561,4,5,6,1
2018-10-07,4561,4,5,6,1
2018-10-08,7192,7,1,9,2
2018-10-09,6060,6,0,6,0
2018-10-10,3658,3,6,5,8
2018-10-11,7481,7,4,8,1
2018-10-12,7052,7,0,5,2
2018-10-13,3073,3,0,7,3
2018-10-14,7212,7,2,1,2
2018-10-15,6311,6,3,1,1
2018-10-16,0456,0,4,5,6
2018-10-17,6710,6,7,1,0
2018-10-18,2049,2,0,4,9
2018-10-19,2142,2,1,4,2
2018-10-20,4066,4,0,6,6
2018-10-21,3769,3,7,6,9
2018-10-22,5005,5,0,0,5
2018-10-23,0957,0,9,5,7
2018-10-24,7397,7,3,9,7
2018-10-25,6116,6,1,1,6
2018-10-26,2484,2,4,8,4
2018-10-27,3912,3,9,1,2
2018-10-28,1071,1,0,7,1
2018-10-29,2061,2,0,6,1
2018-10-30,8275,8,2,7,5
2018-10-31,1255,1,2,5,5
2018-11-01,2215,2,2,1,5
2018-11-02,9559,9,5,5,9
2018-11-03,0020,0,0,2,0
2018-11-04,0402,0,4,0,2
2018-11-05,5597,5,5,9,7
2018-11-06,9284,9,2,8,4
2018-11-07,7040,7,0,4,0
2018-11-08,9487,9,4,8,7
2018-11-09,9788,9,7,8,8
2018-11-10,3743,3,7,4,3
2018-11-11,7648,7,6,4,8
2018-11-12,2492,2,4,9,2
2018-11-13,9060,9,0,6,0
2018-11-14,6099,6,0,9,9
2018-11-15,4647,4,6,4,7
2018-11-16,4480,4,4,8,0
2018-11-17,4364,4,3,6,4
2018-11-18,0718,0,7,1,8
2018-11-19,6555,6,5,5,5
2018-11-20,7952,7,9,5,2
2018-11-21,6269,6,2,6,9
2018-11-22,5337,5,3,3,7
2018-11-23,3509,3,5,0,9
2018-11-24,9053,9,0,5,3
2018-11-25,0216,0,2,1,6
2018-11-26,5658,5,6,5,8
2018-11-27,1868,1,8,6,8
2018-11-28,3324,3,3,2,4
2018-11-29,3406,3,4,0,6
2018-11-30,2611,2,6,1,1
2018-12-01,6917,6,9,1,7
2018-12-02,9848,9,8,4,8
2018-12-03,7066,7,0,6,6
2018-12-04,2305,2,3,0,5
2018-12-05,2026,2,0,2,6
2018-12-06,7800,7,8,0,0
2018-12-07,7083,7,0,8,3
2018-12-08,5750,5,7,5,0
2018-12-09,9479,9,4,7,9
2018-12-10,8122,8,1,2,2
2018-12-11,4519,4,5,1,9
2018-12-12,1749,1,7,4,9
2018-12-13,1951,1,9,5,1
