tanggal,result,as,kop,kepala,ekor
2006-01-10,3456,3,4,5,6
2006-01-11,3435,3,4,3,5
2006-01-12,9845,9,8,4,5
2006-01-13,2450,2,4,5,0
2006-01-14,6345,6,3,4,5
2006-01-15,9648,9,6,4,8
2006-01-16,4089,4,0,8,9
2006-01-17,5812,5,8,1,2
2006-01-18,2630,2,6,3,0
2006-01-19,2526,2,5,2,6
2006-01-20,2308,2,3,0,8
2006-01-21,9636,9,6,3,6
2006-01-22,7009,7,0,0,9
2006-01-23,3317,3,3,1,7
2006-01-24,1209,1,2,0,9
2006-01-25,6758,6,7,5,8
2006-01-26,6345,6,3,4,5
2006-01-27,9345,9,3,4,5
2006-01-28,5344,5,3,4,4
2006-01-29,7456,7,4,5,6
2006-01-30,8151,8,1,5,1
2006-01-31,5312,5,3,1,2
2006-02-01,7488,7,4,8,8
2006-02-02,5260,5,2,6,0
2006-02-03,5832,5,8,3,2
2006-02-04,9045,9,0,4,5
2006-02-05,5668,5,6,6,8
2006-02-06,3456,3,4,5,6
2006-02-07,6745,6,7,4,5
2006-02-08,4563,4,5,6,3
2006-02-09,4345,4,3,4,5
2006-02-10,4634,4,6,3,4
2006-02-11,5538,5,5,3,8
2006-02-12,0566,0,5,6,6
2006-02-13,5430,5,4,3,0
2006-02-14,4101,4,1,0,1
2006-02-15,5343,5,3,4,3
2006-02-16,7899,7,8,9,9
2006-02-17,8940,8,9,4,0
2006-02-18,3453,3,4,5,3
2006-02-19,1236,1,2,3,6
2006-02-20,9363,9,3,6,3
2006-02-21,1547,1,5,4,7
2006-02-22,7452,7,4,5,2
2006-02-23,7802,7,8,0,2
2006-02-24,1531,1,5,3,1
2006-02-25,2318,2,3,1,8
2006-02-26,4832,4,8,3,2
2006-02-27,5238,5,2,3,8
2006-02-28,0410,0,4,1,0
2006-03-01,1234,1,2,3,4
2006-03-02,7968,7,9,6,8
2006-03-03,3452,3,4,5,2
2006-03-04,4635,4,6,3,5
2006-03-05,3246,3,2,4,6
2006-03-06,6934,6,9,3,4
2006-03-07,0134,0,1,3,4
2006-03-08,8456,8,4,5,6
2006-03-09,8427,8,4,2,7
2006-03-10,8167,8,1,6,7
2006-03-11,7452,7,4,5,2
2006-03-12,1787,1,7,8,7
2006-03-13,8283,8,2,8,3
2006-03-14,7991,7,9,9,1
2006-03-15,7625,7,6,2,5
2006-03-16,6587,6,5,8,7
2006-03-17,2323,2,3,2,3
2006-03-18,6922,6,9,2,2
2006-03-19,4848,4,8,4,8
