tanggal,result,as,kop,kepala,ekor
2018-07-30,2536,2,5,3,6
2018-07-31,0878,0,8,7,8
2018-08-01,9895,9,8,9,5
2018-08-02,7819,7,8,1,9
2018-08-03,8779,8,7,7,9
2018-08-04,1808,1,8,0,8
2018-08-05,1649,1,6,4,9
2018-08-06,8042,8,0,4,2
2018-08-07,3274,3,2,7,4
2018-08-08,2873,2,8,7,3
2018-08-09,3599,3,5,9,9
2018-08-10,5312,5,3,1,2
2018-08-11,2337,2,3,3,7
2018-08-12,0053,0,0,5,3
2018-08-13,3710,3,7,1,0
2018-08-14,4369,4,3,6,9
2018-08-15,5322,5,3,2,2
2018-08-16,5981,5,9,8,1
2018-08-17,7585,7,5,8,5
2018-08-18,8978,8,9,7,8
2018-08-19,1823,1,8,2,3
2018-08-20,2208,2,2,0,8
2018-08-21,9463,9,4,6,3
2018-08-22,4686,4,6,8,6
2018-08-23,8069,8,0,6,9
2018-08-24,0530,0,5,3,0
2018-08-25,5792,5,7,9,2
2018-08-26,9111,9,1,1,1
2018-08-27,2424,2,4,2,4
2018-08-28,3016,3,0,1,6
2018-08-29,4326,4,3,2,6
2018-08-30,8603,8,6,0,3
2018-08-31,7607,7,6,0,7
2018-09-01,7058,7,0,5,8
2018-09-02,8290,8,2,9,0
2018-09-03,7017,7,0,1,7
2018-09-04,0620,0,6,2,0
2018-09-05,3132,3,1,3,2
2018-09-06,0168,0,1,6,8
2018-09-07,6560,6,5,6,0
2018-09-08,7067,7,0,6,7
2018-09-09,4817,4,8,1,7
2018-09-10,1756,1,7,5,6
2018-09-11,7294,7,2,9,4
2018-09-12,7374,7,3,7,4
2018-09-13,9654,9,6,5,4
2018-09-14,2253,2,2,5,3
2018-09-15,4939,4,9,3,9
2018-09-16,7380,7,3,8,0
2018-09-17,1983,1,9,8,3
2018-09-18,0005,0,0,0,5
2018-09-19,3269,3,2,6,9
2018-09-20,4966,4,9,6,6
2018-09-21,9838,9,8,3,8
2018-09-22,6555,6,5,5,5
2018-09-23,5042,5,0,4,2
2018-09-24,2855,2,8,5,5
2018-09-25,1656,1,6,5,6
2018-09-26,4932,4,9,3,2
2018-09-27,6449,6,4,4,9
2018-09-28,7110,7,1,1,0
2018-09-29,8301,8,3,0,1
2018-09-30,2690,2,6,9,0
2018-10-01,6121,6,1,2,1
2018-10-02,5716,5,7,1,6
2018-10-03,1305,1,3,0,5
2018-10-04,8823,8,8,2,3
