tanggal,result,as,kop,kepala,ekor
1984-06-28,9637,9,6,3,7
1984-07-01,9467,9,4,6,7
1984-07-04,4515,4,5,1,5
1984-07-05,6869,6,8,6,9
1984-07-08,3865,3,8,6,5
1984-07-11,8441,8,4,4,1
1984-07-12,8715,8,7,1,5
1984-07-15,0204,0,2,0,4
1984-07-16,0222,0,2,2,2
1984-07-19,8267,8,2,6,7
1984-07-22,6333,6,3,3,3
1984-07-23,6070,6,0,7,0
1984-07-26,6393,6,3,9,3
1984-07-29,2444,2,4,4,4
1984-07-30,8280,8,2,8,0
1984-08-02,3737,3,7,3,7
1984-08-03,8132,8,1,3,2
1984-08-06,9640,9,6,4,0
1984-08-09,2071,2,0,7,1
1984-08-10,2155,2,1,5,5
1984-08-13,2155,2,1,5,5
1984-08-16,5478,5,4,7,8
1984-08-17,0081,0,0,8,1
1984-08-20,0010,0,0,1,0
1984-08-21,2557,2,5,5,7
1984-08-24,2457,2,4,5,7
1984-08-27,1927,1,9,2,7
1984-08-28,3626,3,6,2,6
1984-08-31,3626,3,6,2,6
1984-09-03,9442,9,4,4,2
1984-09-04,1723,1,7,2,3
1984-09-07,3734,3,7,3,4
1984-09-08,2753,2,7,5,3
1984-09-11,3848,3,8,4,8
1984-09-14,3504,3,5,0,4
1984-09-15,3708,3,7,0,8
1984-09-18,1672,1,6,7,2
1984-09-21,9925,9,9,2,5
1984-09-22,4420,4,4,2,0
1984-09-25,4702,4,7,0,2
1984-09-26,4641,4,6,4,1
1984-09-29,1327,1,3,2,7
1984-10-02,0614,0,6,1,4
1984-10-03,7967,7,9,6,7
1984-10-06,5833,5,8,3,3
1984-10-09,3219,3,2,1,9
1984-10-10,5265,5,2,6,5
1984-10-13,5579,5,5,7,9
1984-10-14,8128,8,1,2,8
1984-10-17,7538,7,5,3,8
1984-10-20,5882,5,8,8,2
1984-10-21,3303,3,3,0,3
1984-10-24,9508,9,5,0,8
1984-10-27,7069,7,0,6,9
1984-10-28,5524,5,5,2,4
1984-10-31,1157,1,1,5,7
1984-11-01,0094,0,0,9,4
1984-11-04,1707,1,7,0,7
1984-11-07,1027,1,0,2,7
1984-11-08,7890,7,8,9,0
1984-11-11,2611,2,6,1,1
1984-11-14,0590,0,5,9,0
1984-11-15,7634,7,6,3,4
1984-11-18,3925,3,9,2,5
1984-11-19,8101,8,1,0,1
1984-11-22,0944,0,9,4,4
1984-11-25,1655,1,6,5,5
1984-11-26,5225,5,2,2,5
1984-11-29,0221,0,2,2,1
1984-12-02,1625,1,6,2,5
1984-12-03,5180,5,1,8,0
1984-12-06,2335,2,3,3,5
1984-12-07,2018,2,0,1,8
1984-12-10,1331,1,3,3,1
1984-12-13,1498,1,4,9,8
1984-12-14,1617,1,6,1,7
1984-12-17,2672,2,6,7,2
1984-12-20,2245,2,2,4,5
1984-12-21,3111,3,1,1,1
1984-12-24,0219,0,2,1,9
1984-12-25,1708,1,7,0,8
1984-12-28,1549,1,5,4,9
1984-12-31,1135,1,1,3,5
1985-01-01,9805,9,8,0,5
1985-01-04,8133,8,1,3,3
1985-01-07,6767,6,7,6,7
1985-01-08,7514,7,5,1,4
1985-01-11,3208,3,2,0,8
1985-01-12,9301,9,3,0,1
1985-01-15,1919,1,9,1,9
1985-01-18,7308,7,3,0,8
1985-01-19,1959,1,9,5,9
1985-01-22,5340,5,3,4,0
1985-01-25,9747,9,7,4,7
1985-01-26,0832,0,8,3,2
1985-01-29,7883,7,8,8,3
1985-01-30,1194,1,1,9,4
1985-02-02,5872,5,8,7,2
1985-02-05,0502,0,5,0,2
1985-02-06,2573,2,5,7,3
1985-02-09,3109,3,1,0,9
1985-02-12,0837,0,8,3,7
1985-02-13,7579,7,5,7,9
1985-02-16,9206,9,2,0,6
1985-02-17,5172,5,1,7,2
1985-02-20,8874,8,8,7,4
1985-02-23,9064,9,0,6,4
1985-02-24,0376,0,3,7,6
