tanggal,result,as,kop,kepala,ekor
2009-11-09,3587,3,5,8,7
2009-11-10,8904,8,9,0,4
2009-11-11,6972,6,9,7,2
2009-11-12,3769,3,7,6,9
2009-11-13,8989,8,9,8,9
2009-11-14,8493,8,4,9,3
2009-11-15,4056,4,0,5,6
2009-11-16,6318,6,3,1,8
2009-11-17,4091,4,0,9,1
2009-11-18,3218,3,2,1,8
2009-11-19,0566,0,5,6,6
2009-11-20,5512,5,5,1,2
2009-11-21,7762,7,7,6,2
2009-11-22,5881,5,8,8,1
2009-11-23,3423,3,4,2,3
2009-11-24,7808,7,8,0,8
2009-11-25,9282,9,2,8,2
2009-11-26,1647,1,6,4,7
2009-11-27,4228,4,2,2,8
2009-11-28,6084,6,0,8,4
2009-11-29,7845,7,8,4,5
2009-11-30,7250,7,2,5,0
2009-12-01,4558,4,5,5,8
2009-12-02,0102,0,1,0,2
2009-12-03,7839,7,8,3,9
2009-12-04,5548,5,5,4,8
2009-12-05,6294,6,2,9,4
2009-12-06,7045,7,0,4,5
2009-12-07,6643,6,6,4,3
2009-12-08,9683,9,6,8,3
2009-12-09,6683,6,6,8,3
2009-12-10,7250,7,2,5,0
2009-12-11,3277,3,2,7,7
2009-12-12,0312,0,3,1,2
2009-12-13,7232,7,2,3,2
2009-12-14,7359,7,3,5,9
2009-12-15,0438,0,4,3,8
2009-12-16,3269,3,2,6,9
2009-12-17,6816,6,8,1,6
2009-12-18,2883,2,8,8,3
2009-12-19,9282,9,2,8,2
2009-12-20,3773,3,7,7,3
2009-12-21,4996,4,9,9,6
2009-12-22,4913,4,9,1,3
2009-12-23,2707,2,7,0,7
2009-12-24,0728,0,7,2,8
2009-12-25,6704,6,7,0,4
2009-12-26,9437,9,4,3,7
2009-12-27,8855,8,8,5,5
2009-12-28,6178,6,1,7,8
2009-12-29,7333,7,3,3,3
2009-12-30,9576,9,5,7,6
2009-12-31,7333,7,3,3,3
2010-01-01,0630,0,6,3,0
2010-01-02,6195,6,1,9,5
2010-01-03,3645,3,6,4,5
2010-01-04,5484,5,4,8,4
2010-01-05,8755,8,7,5,5
2010-01-06,1043,1,0,4,3
2010-01-07,0745,0,7,4,5
2010-01-08,9593,9,5,9,3
2010-01-09,2393,2,3,9,3
2010-01-10,4042,4,0,4,2
2010-01-11,6575,6,5,7,5
2010-01-12,7768,7,7,6,8
2010-01-13,3930,3,9,3,0
2010-01-14,1517,1,5,1,7
2010-01-15,2176,2,1,7,6
2010-01-16,7731,7,7,3,1
2010-01-17,7004,7,0,0,4
2010-01-18,4984,4,9,8,4
2010-01-19,5626,5,6,2,6
2010-01-20,6165,6,1,6,5
2010-01-21,7132,7,1,3,2
2010-01-22,6875,6,8,7,5
2010-01-23,5388,5,3,8,8
2010-01-24,4403,4,4,0,3
2010-01-25,3954,3,9,5,4
2010-01-26,4525,4,5,2,5
2010-01-27,3844,3,8,4,4
2010-01-28,1862,1,8,6,2
2010-01-29,4175,4,1,7,5
2010-01-30,9517,9,5,1,7
2010-01-31,6614,6,6,1,4
2010-02-01,8169,8,1,6,9
2010-02-02,1468,1,4,6,8
2010-02-03,8698,8,6,9,8
2010-02-04,9169,9,1,6,9
2010-02-05,0383,0,3,8,3
2010-02-06,4508,4,5,0,8
2010-02-07,5086,5,0,8,6
2010-02-08,3926,3,9,2,6
2010-02-09,6834,6,8,3,4
2010-02-10,5315,5,3,1,5
2010-02-11,8700,8,7,0,0
2010-02-12,6871,6,8,7,1
2010-02-13,2807,2,8,0,7
2010-02-14,9369,9,3,6,9
2010-02-15,7938,7,9,3,8
2010-02-16,8133,8,1,3,3
2010-02-17,3704,3,7,0,4
2010-02-18,4002,4,0,0,2
2010-02-19,3240,3,2,4,0
2010-02-20,2928,2,9,2,8
2010-02-21,1929,1,9,2,9
2010-02-22,7414,7,4,1,4
2010-02-23,6604,6,6,0,4
2010-02-24,2337,2,3,3,7
2010-02-25,0245,0,2,4,5
2010-02-26,8354,8,3,5,4
2010-02-27,9432,9,4,3,2
2010-02-28,3412,3,4,1,2
2010-03-01,8034,8,0,3,4
2010-03-02,3342,3,3,4,2
2010-03-03,9378,9,3,7,8
2010-03-04,3741,3,7,4,1
2010-03-05,4237,4,2,3,7
2010-03-06,1734,1,7,3,4
2010-03-07,8603,8,6,0,3
2010-03-08,2381,2,3,8,1
2010-03-09,0984,0,9,8,4
2010-03-10,5855,5,8,5,5
2010-03-11,4082,4,0,8,2
2010-03-12,8062,8,0,6,2
2010-03-13,7760,7,7,6,0
2010-03-14,7055,7,0,5,5
2010-03-15,8757,8,7,5,7
2010-03-16,6266,6,2,6,6
2010-03-17,0164,0,1,6,4
2010-03-18,7210,7,2,1,0
2010-03-19,2956,2,9,5,6
2010-03-20,9770,9,7,7,0
2010-03-21,5531,5,5,3,1
2010-03-22,5144,5,1,4,4
2010-03-23,3289,3,2,8,9
2010-03-24,5154,5,1,5,4
