tanggal,result,as,kop,kepala,ekor
1983-08-08,5299,5,2,9,9
1983-08-11,6749,6,7,4,9
1983-08-15,8357,8,3,5,7
1983-08-18,0046,0,0,4,6
1983-08-22,1018,1,0,1,8
1983-08-25,2891,2,8,9,1
1983-08-29,2762,2,7,6,2
1983-09-01,8845,8,8,4,5
1983-09-05,1039,1,0,3,9
1983-09-08,7752,7,7,5,2
1983-09-12,6029,6,0,2,9
1983-09-15,0246,0,2,4,6
1983-09-19,6511,6,5,1,1
1983-09-22,0688,0,6,8,8
1983-09-26,0815,0,8,1,5
1983-09-29,4124,4,1,2,4
1983-10-03,8940,8,9,4,0
1983-10-06,6194,6,1,9,4
1983-10-10,9998,9,9,9,8
1983-10-13,5181,5,1,8,1
1983-10-17,4005,4,0,0,5
1983-10-20,7556,7,5,5,6
1983-10-24,1481,1,4,8,1
1983-10-27,3948,3,9,4,8
1983-10-31,9962,9,9,6,2
1983-11-03,6098,6,0,9,8
1983-11-07,2490,2,4,9,0
1983-11-10,6268,6,2,6,8
1983-11-14,4327,4,3,2,7
1983-11-17,0790,0,7,9,0
1983-11-21,2451,2,4,5,1
1983-11-24,4975,4,9,7,5
1983-11-28,2436,2,4,3,6
1983-12-01,6365,6,3,6,5
1983-12-05,2057,2,0,5,7
1983-12-08,1258,1,2,5,8
1983-12-12,9133,9,1,3,3
1983-12-15,2052,2,0,5,2
1983-12-19,9103,9,1,0,3
1983-12-22,3195,3,1,9,5
1983-12-26,4743,4,7,4,3
1983-12-29,7253,7,2,5,3
1984-01-02,6605,6,6,0,5
1984-01-05,9134,9,1,3,4
1984-01-09,2439,2,4,3,9
1984-01-12,8455,8,4,5,5
1984-01-16,6480,6,4,8,0
1984-01-19,6007,6,0,0,7
1984-01-23,1901,1,9,0,1
1984-01-26,1487,1,4,8,7
1984-01-30,6059,6,0,5,9
1984-02-02,7813,7,8,1,3
1984-02-06,3669,3,6,6,9
1984-02-09,1036,1,0,3,6
1984-02-13,6503,6,5,0,3
1984-02-16,7996,7,9,9,6
1984-02-20,3217,3,2,1,7
1984-02-23,0196,0,1,9,6
1984-02-27,1372,1,3,7,2
1984-03-01,5762,5,7,6,2
1984-03-05,2221,2,2,2,1
1984-03-08,6822,6,8,2,2
1984-03-12,9863,9,8,6,3
1984-03-15,2575,2,5,7,5
1984-03-19,0740,0,7,4,0
1984-03-22,1638,1,6,3,8
1984-03-26,2578,2,5,7,8
1984-03-29,6104,6,1,0,4
1984-04-02,9329,9,3,2,9
1984-04-05,4616,4,6,1,6
1984-04-09,1821,1,8,2,1
1984-04-12,1448,1,4,4,8
1984-04-16,6821,6,8,2,1
1984-04-19,0469,0,4,6,9
1984-04-23,1765,1,7,6,5
1984-04-26,2449,2,4,4,9
1984-04-30,0408,0,4,0,8
1984-05-03,3385,3,3,8,5
1984-05-07,3838,3,8,3,8
1984-05-10,4900,4,9,0,0
1984-05-14,6107,6,1,0,7
1984-05-17,5332,5,3,3,2
1984-05-21,1884,1,8,8,4
1984-05-24,5089,5,0,8,9
1984-05-28,6404,6,4,0,4
1984-05-31,3887,3,8,8,7
1984-06-04,6333,6,3,3,3
1984-06-07,2913,2,9,1,3
1984-06-11,2736,2,7,3,6
1984-06-14,9830,9,8,3,0
1984-06-18,2877,2,8,7,7
1984-06-21,2558,2,5,5,8
1984-06-25,8969,8,9,6,9
1984-06-28,6190,6,1,9,0
1984-07-02,5957,5,9,5,7
1984-07-05,5739,5,7,3,9
1984-07-09,2028,2,0,2,8
1984-07-12,0643,0,6,4,3
1984-07-16,0060,0,0,6,0
1984-07-19,3401,3,4,0,1
1984-07-23,9206,9,2,0,6
1984-07-26,7900,7,9,0,0
1984-07-30,3599,3,5,9,9
1984-08-02,0990,0,9,9,0
1984-08-06,6302,6,3,0,2
1984-08-09,1923,1,9,2,3
1984-08-13,3589,3,5,8,9
1984-08-16,6805,6,8,0,5
1984-08-20,1412,1,4,1,2
1984-08-23,8520,8,5,2,0
1984-08-27,7142,7,1,4,2
1984-08-30,8976,8,9,7,6
1984-09-03,4859,4,8,5,9
1984-09-06,2763,2,7,6,3
1984-09-10,8943,8,9,4,3
1984-09-13,7126,7,1,2,6
1984-09-17,6285,6,2,8,5
1984-09-20,7468,7,4,6,8
1984-09-24,2250,2,2,5,0
1984-09-27,2546,2,5,4,6
1984-10-01,6665,6,6,6,5
1984-10-04,9701,9,7,0,1
1984-10-08,0959,0,9,5,9
1984-10-11,6078,6,0,7,8
1984-10-15,0949,0,9,4,9
1984-10-18,6221,6,2,2,1
1984-10-22,7580,7,5,8,0
1984-10-25,0703,0,7,0,3
1984-10-29,4070,4,0,7,0
1984-11-01,0830,0,8,3,0
1984-11-05,9101,9,1,0,1
1984-11-08,1899,1,8,9,9
1984-11-12,1795,1,7,9,5
1984-11-15,1543,1,5,4,3
1984-11-19,1985,1,9,8,5
1984-11-22,5221,5,2,2,1
1984-11-26,1449,1,4,4,9
1984-11-29,6149,6,1,4,9
1984-12-03,8435,8,4,3,5
1984-12-06,7816,7,8,1,6
1984-12-10,8163,8,1,6,3
1984-12-13,4573,4,5,7,3
1984-12-17,8124,8,1,2,4
1984-12-20,4601,4,6,0,1
1984-12-24,9191,9,1,9,1
1984-12-27,3662,3,6,6,2
1984-12-31,5472,5,4,7,2
1985-01-03,3218,3,2,1,8
1985-01-07,4896,4,8,9,6
1985-01-10,5429,5,4,2,9
1985-01-14,9404,9,4,0,4
1985-01-17,5913,5,9,1,3
1985-01-21,4122,4,1,2,2
1985-01-24,7686,7,6,8,6
1985-01-28,6352,6,3,5,2
1985-01-31,4466,4,4,6,6
1985-02-04,0087,0,0,8,7
1985-02-07,5336,5,3,3,6
1985-02-11,5461,5,4,6,1
1985-02-14,9061,9,0,6,1
1985-02-18,6693,6,6,9,3
1985-02-21,8183,8,1,8,3
1985-02-25,7884,7,8,8,4
1985-02-28,4282,4,2,8,2
1985-03-04,9162,9,1,6,2
1985-03-07,6127,6,1,2,7
1985-03-11,9277,9,2,7,7
1985-03-14,1857,1,8,5,7
1985-03-18,7978,7,9,7,8
1985-03-21,7098,7,0,9,8
1985-03-25,2691,2,6,9,1
1985-03-28,7740,7,7,4,0
1985-04-01,8791,8,7,9,1
1985-04-04,2479,2,4,7,9
1985-04-08,1141,1,1,4,1
1985-04-11,7074,7,0,7,4
1985-04-15,5715,5,7,1,5
1985-04-18,1150,1,1,5,0
1985-04-22,8308,8,3,0,8
1985-04-25,8092,8,0,9,2
1985-04-29,0364,0,3,6,4
1985-05-02,2165,2,1,6,5
1985-05-06,8048,8,0,4,8
1985-05-09,5851,5,8,5,1
1985-05-13,3118,3,1,1,8
1985-05-16,9952,9,9,5,2
1985-05-20,1523,1,5,2,3
1985-05-23,5736,5,7,3,6
1985-05-27,7469,7,4,6,9
1985-05-30,0465,0,4,6,5
1985-06-03,7744,7,7,4,4
1985-06-06,6511,6,5,1,1
1985-06-10,1702,1,7,0,2
1985-06-13,7864,7,8,6,4
1985-06-17,5341,5,3,4,1
1985-06-20,2002,2,0,0,2
1985-06-24,3516,3,5,1,6
1985-06-27,7446,7,4,4,6
1985-07-01,9360,9,3,6,0
1985-07-04,3656,3,6,5,6
1985-07-08,3911,3,9,1,1
1985-07-11,4664,4,6,6,4
1985-07-15,1359,1,3,5,9
1985-07-18,0961,0,9,6,1
1985-07-22,5083,5,0,8,3
1985-07-25,1757,1,7,5,7
1985-07-29,0482,0,4,8,2
1985-08-01,6542,6,5,4,2
1985-08-05,3213,3,2,1,3
1985-08-08,6211,6,2,1,1
1985-08-12,3166,3,1,6,6
1985-08-15,2399,2,3,9,9
1985-08-19,6071,6,0,7,1
1985-08-22,7811,7,8,1,1
1985-08-26,9587,9,5,8,7
1985-08-29,5108,5,1,0,8
1985-09-02,2288,2,2,8,8
1985-09-05,7264,7,2,6,4
1985-09-09,4715,4,7,1,5
1985-09-12,0261,0,2,6,1
1985-09-16,8208,8,2,0,8
1985-09-19,6020,6,0,2,0
1985-09-23,8855,8,8,5,5
1985-09-26,7423,7,4,2,3
1985-09-30,8478,8,4,7,8
1985-10-03,5810,5,8,1,0
1985-10-07,3592,3,5,9,2
1985-10-10,8674,8,6,7,4
1985-10-14,9049,9,0,4,9
1985-10-17,3580,3,5,8,0
1985-10-21,5143,5,1,4,3
1985-10-24,9971,9,9,7,1
1985-10-28,5339,5,3,3,9
1985-10-31,8309,8,3,0,9
1985-11-04,2231,2,2,3,1
1985-11-07,9264,9,2,6,4
1985-11-11,8786,8,7,8,6
1985-11-14,0206,0,2,0,6
1985-11-18,4568,4,5,6,8
1985-11-21,3473,3,4,7,3
1985-11-25,9047,9,0,4,7
1985-11-28,8807,8,8,0,7
1985-12-02,8233,8,2,3,3
1985-12-05,4666,4,6,6,6
1985-12-09,5694,5,6,9,4
1985-12-12,0991,0,9,9,1
1985-12-16,6475,6,4,7,5
1985-12-19,5869,5,8,6,9
1985-12-23,4418,4,4,1,8
1985-12-26,8413,8,4,1,3
1985-12-30,9055,9,0,5,5
1986-01-02,4224,4,2,2,4
1986-01-06,2409,2,4,0,9
1986-01-09,2605,2,6,0,5
1986-01-13,6516,6,5,1,6
1986-01-16,5752,5,7,5,2
1986-01-20,3379,3,3,7,9
1986-01-23,0614,0,6,1,4
1986-01-27,1923,1,9,2,3
1986-01-30,7330,7,3,3,0
1986-02-03,8495,8,4,9,5
1986-02-06,6476,6,4,7,6
1986-02-10,8981,8,9,8,1
1986-02-13,9320,9,3,2,0
1986-02-17,4886,4,8,8,6
1986-02-20,0598,0,5,9,8
1986-02-24,4251,4,2,5,1
1986-02-27,0318,0,3,1,8
1986-03-03,4786,4,7,8,6
1986-03-06,0524,0,5,2,4
1986-03-10,6702,6,7,0,2
1986-03-13,2407,2,4,0,7
1986-03-17,4769,4,7,6,9
1986-03-20,1072,1,0,7,2
1986-03-24,3068,3,0,6,8
1986-03-27,5011,5,0,1,1
1986-03-31,3902,3,9,0,2
1986-04-03,2190,2,1,9,0
1986-04-07,1155,1,1,5,5
1986-04-10,0304,0,3,0,4
1986-04-14,1640,1,6,4,0
1986-04-17,2369,2,3,6,9
1986-04-21,8881,8,8,8,1
1986-04-24,3933,3,9,3,3
1986-04-28,8750,8,7,5,0
1986-05-01,5441,5,4,4,1
1986-05-05,6910,6,9,1,0
1986-05-08,6448,6,4,4,8
1986-05-12,5435,5,4,3,5
1986-05-15,5601,5,6,0,1
1986-05-19,3269,3,2,6,9
1986-05-22,8865,8,8,6,5
1986-05-26,9085,9,0,8,5
1986-05-29,4325,4,3,2,5
1986-06-02,9892,9,8,9,2
1986-06-05,7088,7,0,8,8
1986-06-09,3356,3,3,5,6
1986-06-12,6877,6,8,7,7
1986-06-16,6081,6,0,8,1
1986-06-19,2380,2,3,8,0
1986-06-23,5043,5,0,4,3
1986-06-26,5412,5,4,1,2
1986-06-30,3531,3,5,3,1
1986-07-03,8191,8,1,9,1
1986-07-07,7473,7,4,7,3
1986-07-10,0564,0,5,6,4
1986-07-14,9866,9,8,6,6
1986-07-17,8363,8,3,6,3
1986-07-21,2826,2,8,2,6
1986-07-24,5552,5,5,5,2
1986-07-28,1829,1,8,2,9
1986-07-31,2336,2,3,3,6
1986-08-04,0904,0,9,0,4
1986-08-07,5859,5,8,5,9
1986-08-11,0981,0,9,8,1
1986-08-14,6280,6,2,8,0
1986-08-18,3543,3,5,4,3
1986-08-21,3930,3,9,3,0
1986-08-25,7125,7,1,2,5
1986-08-28,9083,9,0,8,3
1986-09-01,2931,2,9,3,1
1986-09-04,9089,9,0,8,9
1986-09-08,5951,5,9,5,1
1986-09-11,1215,1,2,1,5
1986-09-15,3449,3,4,4,9
1986-09-18,5752,5,7,5,2
1986-09-22,2817,2,8,1,7
1986-09-25,6326,6,3,2,6
1986-09-29,9550,9,5,5,0
1986-10-02,8548,8,5,4,8
1986-10-06,1247,1,2,4,7
1986-10-09,3842,3,8,4,2
1986-10-13,0126,0,1,2,6
1986-10-16,3444,3,4,4,4
1986-10-20,8459,8,4,5,9
1986-10-23,9523,9,5,2,3
1986-10-27,2672,2,6,7,2
1986-10-30,6646,6,6,4,6
1986-11-03,4933,4,9,3,3
1986-11-06,3205,3,2,0,5
1986-11-10,4900,4,9,0,0
1986-11-13,3912,3,9,1,2
1986-11-17,1282,1,2,8,2
1986-11-20,6012,6,0,1,2
1986-11-24,1636,1,6,3,6
1986-11-27,8287,8,2,8,7
1986-12-01,3117,3,1,1,7
1986-12-04,1454,1,4,5,4
1986-12-08,4948,4,9,4,8
1986-12-11,8997,8,9,9,7
1986-12-15,0010,0,0,1,0
1986-12-18,2047,2,0,4,7
1986-12-22,7583,7,5,8,3
1986-12-25,2108,2,1,0,8
1986-12-29,5162,5,1,6,2
1987-01-01,7614,7,6,1,4
1987-01-05,4878,4,8,7,8
1987-01-08,5310,5,3,1,0
1987-01-12,0246,0,2,4,6
1987-01-15,2300,2,3,0,0
1987-01-19,4662,4,6,6,2
1987-01-22,2914,2,9,1,4
1987-01-26,0201,0,2,0,1
1987-01-29,6334,6,3,3,4
1987-02-02,1928,1,9,2,8
1987-02-05,7676,7,6,7,6
1987-02-09,4670,4,6,7,0
1987-02-12,3560,3,5,6,0
1987-02-16,2585,2,5,8,5
1987-02-19,0109,0,1,0,9
1987-02-23,8875,8,8,7,5
1987-02-26,9911,9,9,1,1
1987-03-02,8700,8,7,0,0
1987-03-05,0738,0,7,3,8
1987-03-09,6751,6,7,5,1
1987-03-12,3369,3,3,6,9
1987-03-16,9527,9,5,2,7
1987-03-19,7541,7,5,4,1
1987-03-23,2107,2,1,0,7
1987-03-26,0526,0,5,2,6
1987-03-30,7752,7,7,5,2
1987-04-02,0937,0,9,3,7
1987-04-06,5163,5,1,6,3
1987-04-09,4058,4,0,5,8
1987-04-13,6982,6,9,8,2
1987-04-16,2992,2,9,9,2
1987-04-20,4500,4,5,0,0
1987-04-23,4072,4,0,7,2
1987-04-27,0526,0,5,2,6
1987-04-30,7110,7,1,1,0
1987-05-04,4092,4,0,9,2
1987-05-07,7581,7,5,8,1
1987-05-11,8324,8,3,2,4
1987-05-14,4427,4,4,2,7
1987-05-18,3438,3,4,3,8
1987-05-21,1659,1,6,5,9
1987-05-25,9201,9,2,0,1
1987-05-28,4346,4,3,4,6
1987-06-01,6316,6,3,1,6
1987-06-04,6254,6,2,5,4
1987-06-08,0772,0,7,7,2
1987-06-11,7661,7,6,6,1
1987-06-15,4230,4,2,3,0
1987-06-18,1028,1,0,2,8
1987-06-22,4183,4,1,8,3
1987-06-25,4563,4,5,6,3
1987-06-29,6335,6,3,3,5
1987-07-02,3343,3,3,4,3
1987-07-06,2810,2,8,1,0
1987-07-09,0305,0,3,0,5
1987-07-13,2404,2,4,0,4
1987-07-16,8929,8,9,2,9
1987-07-20,2168,2,1,6,8
1987-07-23,7488,7,4,8,8
1987-07-27,2194,2,1,9,4
1987-07-30,7272,7,2,7,2
1987-08-03,5662,5,6,6,2
1987-08-06,1036,1,0,3,6
1987-08-10,4013,4,0,1,3
1987-08-13,4251,4,2,5,1
1987-08-17,1919,1,9,1,9
1987-08-20,0358,0,3,5,8
1987-08-24,6886,6,8,8,6
1987-08-27,5567,5,5,6,7
1987-08-31,1566,1,5,6,6
1987-09-03,5626,5,6,2,6
1987-09-07,5361,5,3,6,1
1987-09-10,6475,6,4,7,5
1987-09-14,3105,3,1,0,5
1987-09-17,9116,9,1,1,6
1987-09-21,0371,0,3,7,1
1987-09-24,5098,5,0,9,8
1987-09-28,9743,9,7,4,3
1987-10-01,7515,7,5,1,5
1987-10-05,2841,2,8,4,1
1987-10-08,6492,6,4,9,2
1987-10-12,4483,4,4,8,3
1987-10-15,5310,5,3,1,0
1987-10-19,6183,6,1,8,3
1987-10-22,5864,5,8,6,4
1987-10-26,3983,3,9,8,3
1987-10-29,9723,9,7,2,3
1987-11-02,2967,2,9,6,7
1987-11-05,1487,1,4,8,7
1987-11-09,3594,3,5,9,4
1987-11-12,8511,8,5,1,1
1987-11-16,7873,7,8,7,3
1987-11-19,6837,6,8,3,7
1987-11-23,8991,8,9,9,1
1987-11-26,9075,9,0,7,5
1987-11-30,6789,6,7,8,9
1987-12-03,0825,0,8,2,5
1987-12-07,4611,4,6,1,1
1987-12-10,0427,0,4,2,7
1987-12-14,7223,7,2,2,3
1987-12-17,3453,3,4,5,3
1987-12-21,8824,8,8,2,4
1987-12-24,2846,2,8,4,6
1987-12-28,7947,7,9,4,7
1987-12-31,0762,0,7,6,2
1988-01-04,6461,6,4,6,1
1988-01-07,6651,6,6,5,1
1988-01-11,5427,5,4,2,7
1988-01-14,8578,8,5,7,8
1988-01-18,6577,6,5,7,7
1988-01-21,7947,7,9,4,7
1988-01-25,0440,0,4,4,0
1988-01-28,1558,1,5,5,8
1988-02-01,7861,7,8,6,1
1988-02-04,2923,2,9,2,3
1988-02-08,4858,4,8,5,8
1988-02-11,9386,9,3,8,6
1988-02-15,2270,2,2,7,0
1988-02-18,9179,9,1,7,9
1988-02-22,6412,6,4,1,2
1988-02-25,9609,9,6,0,9
1988-02-29,7737,7,7,3,7
1988-03-03,3997,3,9,9,7
1988-03-07,1348,1,3,4,8
1988-03-10,9157,9,1,5,7
1988-03-14,3106,3,1,0,6
1988-03-17,1242,1,2,4,2
1988-03-21,2289,2,2,8,9
1988-03-24,3592,3,5,9,2
1988-03-28,1581,1,5,8,1
1988-03-31,6067,6,0,6,7
1988-04-04,5151,5,1,5,1
1988-04-07,5139,5,1,3,9
1988-04-11,0914,0,9,1,4
1988-04-14,9710,9,7,1,0
1988-04-18,5112,5,1,1,2
1988-04-21,3955,3,9,5,5
1988-04-25,3536,3,5,3,6
1988-04-28,7350,7,3,5,0
1988-05-02,5672,5,6,7,2
1988-05-05,2500,2,5,0,0
1988-05-09,8483,8,4,8,3
1988-05-12,9700,9,7,0,0
1988-05-16,4592,4,5,9,2
1988-05-19,6035,6,0,3,5
1988-05-23,6699,6,6,9,9
1988-05-26,6844,6,8,4,4
1988-05-30,1528,1,5,2,8
1988-06-02,7604,7,6,0,4
1988-06-06,3113,3,1,1,3
1988-06-09,0961,0,9,6,1
1988-06-13,6487,6,4,8,7
1988-06-16,4313,4,3,1,3
1988-06-20,7580,7,5,8,0
1988-06-23,0896,0,8,9,6
1988-06-27,8388,8,3,8,8
1988-06-30,5395,5,3,9,5
1988-07-04,5743,5,7,4,3
1988-07-07,1223,1,2,2,3
1988-07-11,6507,6,5,0,7
1988-07-14,0592,0,5,9,2
1988-07-18,4020,4,0,2,0
1988-07-21,8321,8,3,2,1
1988-07-25,7201,7,2,0,1
1988-07-28,6173,6,1,7,3
1988-08-01,2785,2,7,8,5
1988-08-04,4575,4,5,7,5
1988-08-08,8049,8,0,4,9
1988-08-11,6919,6,9,1,9
1988-08-15,0675,0,6,7,5
1988-08-18,7615,7,6,1,5
1988-08-22,3162,3,1,6,2
1988-08-25,5292,5,2,9,2
1988-08-29,4421,4,4,2,1
1988-09-01,6418,6,4,1,8
1988-09-05,7157,7,1,5,7
1988-09-08,7083,7,0,8,3
1988-09-12,5535,5,5,3,5
1988-09-15,1232,1,2,3,2
1988-09-19,7653,7,6,5,3
1988-09-22,0486,0,4,8,6
1988-09-26,7120,7,1,2,0
1988-09-29,5801,5,8,0,1
1988-10-03,1226,1,2,2,6
1988-10-06,8617,8,6,1,7
1988-10-10,4006,4,0,0,6
1988-10-13,7944,7,9,4,4
1988-10-17,3183,3,1,8,3
1988-10-20,1587,1,5,8,7
1988-10-24,9694,9,6,9,4
1988-10-27,8974,8,9,7,4
1988-10-31,7569,7,5,6,9
1988-11-03,9054,9,0,5,4
1988-11-07,7502,7,5,0,2
1988-11-10,3068,3,0,6,8
1988-11-14,3584,3,5,8,4
1988-11-17,5140,5,1,4,0
1988-11-21,4356,4,3,5,6
1988-11-24,8529,8,5,2,9
1988-11-28,7585,7,5,8,5
1988-12-01,8707,8,7,0,7
1988-12-05,3507,3,5,0,7
1988-12-08,5752,5,7,5,2
1988-12-12,4152,4,1,5,2
1988-12-15,8636,8,6,3,6
1988-12-19,6343,6,3,4,3
1988-12-22,0449,0,4,4,9
1988-12-26,9262,9,2,6,2
1988-12-29,9817,9,8,1,7
1989-01-02,2315,2,3,1,5
1989-01-05,0471,0,4,7,1
1989-01-09,0852,0,8,5,2
1989-01-12,8817,8,8,1,7
1989-01-16,5508,5,5,0,8
1989-01-19,0063,0,0,6,3
1989-01-23,4011,4,0,1,1
1989-01-26,7523,7,5,2,3
1989-01-30,2944,2,9,4,4
1989-02-02,8149,8,1,4,9
1989-02-06,4533,4,5,3,3
1989-02-09,4571,4,5,7,1
1989-02-13,0284,0,2,8,4
1989-02-16,9067,9,0,6,7
1989-02-20,8820,8,8,2,0
1989-02-23,6206,6,2,0,6
1989-02-27,4824,4,8,2,4
1989-03-02,5526,5,5,2,6
1989-03-06,0431,0,4,3,1
1989-03-09,5785,5,7,8,5
1989-03-13,1327,1,3,2,7
1989-03-16,7965,7,9,6,5
1989-03-20,9849,9,8,4,9
1989-03-23,5964,5,9,6,4
1989-03-27,3837,3,8,3,7
1989-03-30,5172,5,1,7,2
1989-04-03,1299,1,2,9,9
1989-04-06,7124,7,1,2,4
1989-04-10,7876,7,8,7,6
1989-04-13,3572,3,5,7,2
1989-04-17,9818,9,8,1,8
1989-04-20,0987,0,9,8,7
1989-04-24,5633,5,6,3,3
1989-04-27,2050,2,0,5,0
1989-05-01,0898,0,8,9,8
1989-05-04,1530,1,5,3,0
1989-05-08,9388,9,3,8,8
1989-05-11,2171,2,1,7,1
1989-05-15,5481,5,4,8,1
1989-05-18,6375,6,3,7,5
1989-05-22,3360,3,3,6,0
1989-05-25,4872,4,8,7,2
1989-05-29,6014,6,0,1,4
1989-06-01,4157,4,1,5,7
1989-06-05,6566,6,5,6,6
1989-06-08,7893,7,8,9,3
1989-06-12,1583,1,5,8,3
1989-06-15,2060,2,0,6,0
1989-06-19,8174,8,1,7,4
1989-06-22,0500,0,5,0,0
1989-06-26,8665,8,6,6,5
1989-06-29,6127,6,1,2,7
1989-07-03,5245,5,2,4,5
1989-07-06,7628,7,6,2,8
1989-07-10,3131,3,1,3,1
1989-07-13,5084,5,0,8,4
1989-07-17,9580,9,5,8,0
1989-07-20,5224,5,2,2,4
1989-07-24,2018,2,0,1,8
1989-07-27,9013,9,0,1,3
1989-07-31,6944,6,9,4,4
